Lat,Long,Confirmed,Deaths,Recovered,cluster
14.6415,-61.0242,0,0,0,2
18.9712,-72.2852,1174,33,22,2
11.8037,-15.1804,1195,7,42,2
23.885942,45.079162,9362,97,1398,2
23.8298,108.7881,254,2,252,2
-14.235,-51.9253,465166,27878,189476,1
-1.9403,29.8739,0,0,0,2
53.9333,-116.5765,0,0,0,2
11.8037,-15.1804,0,0,0,2
16.742498,-62.187366,11,1,2,2
55.1694,23.8813,1815,78,1503,2
-12.4634,130.8456,0,0,0,2
17.357822,-62.782998,0,0,0,2
-33.8688,151.2093,112,2,4,2
-0.228,15.8277,0,0,0,2
46.2276,2.2137,201285,30046,71639,1
51.9194,19.1451,32527,1375,17573,2
44.0935,113.9448,232,1,206,2
10.6918,-61.2225,114,8,20,2
-20.348404,57.552152,332,10,322,2
15.415,-61.371,0,0,0,2
40.463667,-3.74922,2,0,2,2
31.24,36.51,1131,11,1035,2
35.1917,108.8701,256,3,252,2
-26.5225,31.4659,187,2,48,2
46.8852,-56.3159,0,0,0,2
42.5063,1.5218,880,52,803,2
25.3548,51.1839,11244,10,1066,2
53.9333,-116.5765,8596,161,0,2
-27.4698,153.0251,987,5,372,2
8.538,-80.7821,0,0,0,2
30.0572,107.874,579,6,573,2
8.460555000000001,-11.779889,1678,64,1213,2
32.3078,-64.7505,146,9,133,2
41.6086,21.7453,1,0,0,2
12.9843,-61.2872,0,0,0,2
-21.1151,55.5364,0,0,0,2
34.802075,38.99681500000001,47,3,0,2
25.3548,51.1839,90778,104,73083,2
42.708678000000006,19.37439,326,9,315,2
4.860416000000002,-58.93018000000001,139,11,67,2
-11.6455,43.3333,87,2,24,2
26.3351,17.228331,0,0,0,2
38.861,71.2761,0,0,0,2
44.0165,21.0059,11571,246,6910,2
-12.8275,45.166244,94,1,10,2
44.0165,21.0059,384,4,15,2
11.8037,-15.1804,0,0,0,2
46.8625,103.8467,230,0,202,2
46.8182,8.2275,34000,1975,30500,2
9.3077,2.3158,0,0,0,2
29.1832,120.0934,1145,0,360,2
60.472,8.4689,9015,254,8138,2
23.6345,-102.5528,4,0,0,2
26.0275,50.55,14383,24,9056,2
